Sample,Replicate,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,Corig
Sample1,R1,593,,,531,1011,950,,1872,,3850,,2699
Sample2,R1,616,,,660,1004,1044,,1913,,3570,,2585
Sample3,R1,646,,,884,1326,1496,,2168,,2825,,2933
Sample4,R1,665,,,2067,1517,1780,,2413,,2994,,5308
Sample5,R2,351,,,352,408,394,440,698,880,1795,,2699
Sample6,R2,343,,,361,415,401,450,704,878,1848,,2585
Sample7,R2,338,,,355,416,410,455,728,906,1866,,2933
Sample8,R2,736,,,731,1283,1412,540,1740,1023,2315,,5308
Sample9,R3,413,,,499,548,620,834,931,1090,2703,,2699
Sample10,R3,411,,,520,544,660,862,894,1106,2748,,2585
Sample11,R3,409,,,516,543,627,849,909,1078,2709,,2933
Sample12,R3,411,,,557,583,675,875,988,1297,2692,,5308
Sample13,R4,460,,,656,676,876,1158,1332,1538,2426,,2699
Sample14,R4,422,,,652,760,883,1162,1283,1572,2404,,2585
Sample15,R4,410,,,676,782,928,1143,1596,1623,2443,,2933
Sample16,R4,3704,,,1648,1179,4752,4481,1606,2779,2597,,5308
Sample17,R5,447,,,633,736,821,1255,1514,2002,2770,,2699
Sample18,R5,437,,,680,728,798,1268,1519,2025,2797,,2585
Sample19,R5,445,,,885,753,729,1312,1569,1968,2745,,2933
Sample20,R5,570,,,1507,1067,1411,2131,2578,2672,2861,,5308
Sample21,R6,502,,,782,645,986,1099,1150,1879,2305,,2699
Sample22,R6,513,,,781,639,998,1118,1147,2009,2013,,2585
Sample23,R6,2042,,,932,950,2088,2358,1392,2607,2228,,2933
Sample24,R7,459,,,553,729,865,976,924,1385,1883,,2699
Sample25,R7,470,,,550,746,894,1008,945,1392,1900,,2585
Sample26,R7,635,,,580,865,1004,1489,1031,1650,2138,,2933
Sample27,R8,360,,,440,418,517,697,985,1037,1455,,2699
Sample28,R8,355,,,476,455,857,920,1033,1029,1483,,2585
Sample29,R8,447,,,580,566,1282,1015,1271,1427,1779,,2933
Sample30,R9,439,,,473,791,1069,3179,1383,,3222,2749,2699
Sample31,R9,416,,,486,729,1136,1555,1598,,2315,2801,2585
Sample32,R9,407,,,1893,669,1407,1379,1686,,2142,2865,2933
Sample33,R10,1055,1224,996,974,1132,1303,1878,,,,,2699
Sample34,R10,659,826,768,762,895,1191,1755,,,,,2585
Sample35,R10,599,722,740,733,918,1173,1734,,,,,2933
Sample36,R11,575,543,,1216,,1216,,,,,,2699
Sample37,R11,585,543,,1269,,1269,,,,,,2585
Sample38,R11,692,608,,1239,,1239,,,,,,2699
Kan,,0,25,50,75,100,150,200,250,350,500,1000,
